Beta,Starting point,Iterations
0.19,50,14
0.19,55,14
0.19,60,14
0.19,65,14
0.19,70,14
0.19,75,14
0.19,80,14
0.19,85,14
0.19,90,14
0.19,95,14
0.19,100,14
0.2,-100,13
0.2,-95,13
0.2,-90,13
0.2,-85,13
0.2,-80,13
0.2,-75,13
0.2,-70,13
0.2,-65,13
0.2,-60,12
0.2,-55,12
0.2,-50,12
0.2,-45,12
0.2,-40,12
0.2,-35,12
0.2,-30,12
0.2,-25,12
0.2,-20,12
0.2,-15,12
0.2,-10,11
0.2,-5,11
0.2,0,10
0.2,5,11
0.2,10,11
0.2,15,12
0.2,20,12
0.2,25,12
0.2,30,12
0.2,35,12
0.2,40,12
0.2,45,12
0.2,50,12
0.2,55,12
0.2,60,12
0.2,65,13
0.2,70,13
0.2,75,13
0.2,80,13
0.2,85,13
0.2,90,13
0.2,95,13
0.2,100,13
0.21,-100,11
0.21,-95,11
0.21,-90,11
0.21,-85,11
0.21,-80,11
0.21,-75,11
0.21,-70,11
0.21,-65,11
0.21,-60,11
0.21,-55,11
0.21,-50,11
0.21,-45,11
0.21,-40,11
0.21,-35,11
0.21,-30,11
0.21,-25,11
0.21,-20,10
0.21,-15,10
0.21,-10,10
0.21,-5,10
0.21,0,9
0.21,5,10
0.21,10,10
0.21,15,10
0.21,20,10
0.21,25,11
0.21,30,11
0.21,35,11
0.21,40,11
0.21,45,11
0.21,50,11
0.21,55,11
0.21,60,11
0.21,65,11
0.21,70,11
0.21,75,11
0.21,80,11
0.21,85,11
0.21,90,11
0.21,95,11
0.21,100,11
0.22,-100,10
0.22,-95,10
0.22,-90,10
0.22,-85,10
0.22,-80,10
0.22,-75,10
0.22,-70,10
0.22,-65,10
0.22,-60,10
0.22,-55,10
0.22,-50,10
0.22,-45,9
0.22,-40,9
0.22,-35,9
0.22,-30,9
0.22,-25,9
0.22,-20,9
0.22,-15,9
0.22,-10,9
0.22,-5,8
0.22,0,8
0.22,5,8
0.22,10,9
0.22,15,9
0.22,20,9
0.22,25,9
0.22,30,9
0.22,35,9
0.22,40,9
0.22,45,9
0.22,50,10
0.22,55,10
0.22,60,10
0.22,65,10
0.22,70,10
0.22,75,10
0.22,80,10
0.22,85,10
0.22,90,10
0.22,95,10
0.22,100,10
0.23,-100,8
0.23,-95,8
0.23,-90,8
0.23,-85,8
0.23,-80,8
0.23,-75,8
0.23,-70,8
0.23,-65,8
0.23,-60,8
0.23,-55,8
0.23,-50,8
0.23,-45,8
0.23,-40,8
0.23,-35,8
0.23,-30,8
0.23,-25,8
0.23,-20,8
0.23,-15,8
0.23,-10,7
0.23,-5,7
0.23,0,6
0.23,5,7
0.23,10,7
0.23,15,8
0.23,20,8
0.23,25,8
0.23,30,8
0.23,35,8
0.23,40,8
0.23,45,8
0.23,50,8
0.23,55,8
0.23,60,8
0.23,65,8
0.23,70,8
0.23,75,8
0.23,80,8
0.23,85,8
0.23,90,8
0.23,95,8
0.23,100,8
0.24,-100,7
0.24,-95,7
0.24,-90,7
0.24,-85,7
0.24,-80,7
0.24,-75,7
0.24,-70,7
0.24,-65,7
0.24,-60,6
0.24,-55,6
0.24,-50,6
0.24,-45,6
0.24,-40,6
0.24,-35,6
0.24,-30,6
0.24,-25,6
0.24,-20,6
0.24,-15,6
0.24,-10,6
0.24,-5,6
0.24,0,5
0.24,5,6
0.24,10,6
0.24,15,6
0.24,20,6
0.24,25,6
0.24,30,6
0.24,35,6
0.24,40,6
0.24,45,6
0.24,50,6
0.24,55,6
0.24,60,6
0.24,65,7
